Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2020-02-27 21:50:28,El Nino,2019-08-10,16:00,9,7,12,Loss,7,0,18,16,2,133,11,10,3,2,4,0,0
2020-02-25 08:44:38,Shade,2019-09-08,14:00,10,15,9,Win,6,9,31,17,14,132,16,11,6,14,6,1,0
2020-02-17 22:44:32,Red Circus,2019-09-21,14:00,9,9,11,Loss,7,2,22,14,8,122,13,11,5,8,4,0,0
2020-02-18 22:12:16,Big Wrench,2019-09-22,12:00,9,13,7,Win,7,6,31,15,16,144,18,16,6,12,11,0,0
2020-02-28 07:49:25,Vault,2019-08-11,14:00,13,8,14,Loss,7,1,19,14,5,124,11,11,0,3,4,0,0
2020-02-18 18:39:18,Lantern,2019-09-22,14:38,8,8,6,Win,6,2,15,13,2,68,7,6,4,4,4,0,0
2020-02-26 08:50:12,Floodwall,2019-08-10,09:30,11,13,8,Win,8,5,25,17,8,135,12,12,1,11,5,0,0
2020-02-26 20:23:19,HIP,2019-08-11,10:00,9,10,9,Win,6,4,19,10,9,110,9,9,0,7,4,0,0
2020-02-17 15:47:13,Citywide,2019-08-10,15:00,8,13,7,Win,7,6,17,9,8,89,4,4,0,5,4,0,0
2020-02-26 22:55:49,Lost  Boys,2019-08-10,00:00,9,8,6,Win,3,5,19,8,11,116,11,10,3,6,7,0,0
