Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Sam Alston,47,7,40,4,13,22,17,15,20,2,2,0,7,2,2,0,4,0,0,132.50,33.05,10.19,2.54,399.95,324.93,20.00,16.25
Eliot Bemis,52,45,7,32,3,54,35,45,53,1,7,7,9,4,2,2,1,0,0,615.97,392.37,14.32,9.12,851.24,681.43,16.06,12.86
Josh Imhoff,39,4,35,3,13,25,16,19,24,1,2,2,6,1,1,0,3,0,0,200.30,46.75,11.13,2.60,436.23,327.54,18.18,13.65
Victor Kao,55,52,3,33,2,98,46,96,79,19,6,10,2,10,9,1,3,0,0,"1,103.12",631.78,12.98,7.43,934.02,283.40,11.82,3.59
Ben West,8,0,8,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.35,2.26,12.35,2.26,19.60,19.28,19.60,19.28
Alon Brown,36,2,34,2,14,39,18,38,25,14,2,5,1,6,4,2,5,0,0,519.84,245.62,15.29,7.22,270.79,37.92,10.83,1.52
Jeff Voss,63,59,4,44,1,62,42,54,62,0,4,3,8,8,7,1,1,0,0,619.62,312.71,13.77,6.95,"1,062.67",759.53,17.14,12.25
Ian McInerney,42,23,19,17,7,33,21,28,33,0,3,3,5,4,3,1,1,0,0,293.24,149.15,11.73,5.97,495.10,373.45,15.00,11.32
Zero,33,3,30,3,15,10,8,9,9,1,0,1,1,0,0,0,2,0,0,100.23,26.62,11.14,2.96,127.80,84.82,14.20,9.42
Sam Pollack,64,63,1,41,0,54,41,49,54,0,4,5,5,3,1,2,1,0,0,635.76,263.91,13.24,5.50,835.63,640.18,15.47,11.86
Owen Marschall,59,59,0,47,0,98,49,91,62,36,3,0,7,3,1,2,5,0,0,"1,073.90",583.55,11.93,6.48,696.31,129.94,11.23,2.10
Towell,58,4,54,3,21,23,15,20,22,1,0,3,3,2,2,0,4,0,0,215.63,33.69,11.98,1.87,315.66,175.28,14.35,7.97
Swan,29,2,27,1,10,11,10,7,11,0,2,1,4,4,3,1,2,0,0,52.38,42.23,13.10,10.56,285.17,246.68,25.92,22.43
Andrew Edelman,88,9,79,7,27,106,49,104,65,41,10,6,2,12,11,1,4,1,0,"1,650.36","1,107.56",18.14,12.17,720.97,17.09,11.09,0.26
Jon Kwan,29,1,28,1,13,16,12,13,15,1,3,0,3,1,1,0,2,0,0,180.75,122.46,18.07,12.25,262.98,174.29,17.53,11.62
Carter Thallon,40,40,0,29,0,53,28,50,51,2,8,5,3,4,3,1,0,0,0,600.11,241.74,12.77,5.14,752.44,427.19,14.75,8.38
Evan Ma,49,34,15,22,7,48,27,45,36,12,1,5,3,3,3,0,0,0,0,496.59,213.91,11.82,5.09,422.96,144.56,11.75,4.02
Stouf,39,2,37,1,14,10,8,8,10,0,0,0,2,2,1,1,1,0,0,76.42,-3.04,10.92,-0.43,179.77,167.94,17.98,16.79
Nadav Pearl,6,0,6,0,4,6,4,6,5,1,1,0,0,0,0,0,0,0,0,97.69,48.80,16.28,8.13,53.50,17.44,10.70,3.49
Ruozhou Ye,78,9,69,8,32,83,42,77,54,29,12,5,6,6,3,3,7,0,0,"1,134.42",732.77,15.33,9.90,623.85,230.44,11.55,4.27
Jesse Gan,62,10,52,6,18,18,15,17,18,0,0,5,1,3,2,1,1,0,0,162.95,11.72,10.86,0.78,231.86,143.15,12.88,7.95
Sam Feder,24,2,22,2,11,17,11,15,15,2,3,1,2,3,3,0,6,0,0,165.79,73.87,13.82,6.16,230.79,164.12,15.39,10.94
Juleon Robinson,43,4,39,3,12,16,9,14,16,0,0,2,2,2,2,0,1,0,0,142.75,65.61,11.90,5.47,236.50,167.09,14.78,10.44
Odie,61,49,12,39,4,82,45,72,81,1,12,4,10,16,12,4,4,0,0,880.02,490.11,15.17,8.45,"1,161.38",789.41,14.34,9.75
Carter Wang,54,4,50,3,19,23,16,22,23,0,3,4,1,2,2,0,5,0,0,196.67,88.98,9.83,4.45,401.20,323.23,17.44,14.05
Max Cohen,70,70,0,50,0,176,68,174,135,41,11,12,2,12,12,0,1,0,0,"2,406.24","1,496.82",14.95,9.30,"1,499.87",359.18,11.11,2.66
Gabe Stump,38,38,0,26,0,29,22,24,29,0,2,1,5,4,4,0,1,0,0,193.92,73.31,10.21,3.86,433.37,363.84,14.94,12.55
Geo Zheng,78,28,50,21,18,54,29,50,47,7,3,3,4,5,3,2,7,0,0,528.68,210.59,11.25,4.48,563.47,171.96,11.99,3.66
