Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-17 15:52:29,2,1,Evan Ma,Owen Marschall,0,0,0,0,0,0,0,0,0,0,0,8.4735775,0.07061958,8.473283,0.7041985,0.8213277,0.47519085,0.8206215
2020-02-17 15:52:33,2,1,Owen Marschall,Evan Ma,0,0,0,0,0,0,0,0,1,0,0,4.0751557,-3.601694,-1.9064877,0.47519085,0.8206215,0.52671754,0.85663843
2020-02-17 15:52:41,2,1,Evan Ma,Owen Marschall,0,0,0,0,0,0,0,0,0,0,0,5.790119,1.2711883,-5.6488547,0.52671754,0.85663843,0.6793893,0.84392655
2020-02-17 15:52:50,2,1,Owen Marschall,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,8.924177,-2.3305118,8.614503,0.6793893,0.84392655,0.44656488,0.86723167
2020-02-17 15:52:54,2,1,Max Cohen,Ian McInerney,0,0,0,0,0,0,0,0,0,0,0,14.010271,10.522604,9.25,0.44656488,0.86723167,0.19656488,0.7620056
2020-02-17 15:52:57,2,1,Ian McInerney,Eliot Bemis,0,0,0,0,0,0,0,0,0,0,1,6.8559966,6.4971743,2.1889315,0.19656488,0.7620056,0.13740458,0.6970339
2020-02-17 15:53:02,2,1,Eliot Bemis,Owen Marschall,0,0,0,0,0,0,0,1,0,1,0,17.747046,-0.9180784,-17.723284,0.13740458,0.6970339,0.6164122,0.70621467
2020-02-17 15:53:04,2,1,Owen Marschall,Ian McInerney,0,0,0,0,0,0,0,0,0,0,0,7.834022,4.3785276,-6.496183,0.6164122,0.70621467,0.79198474,0.6624294
2020-02-17 15:53:12,2,1,Ian McInerney,Jeff Voss,0,0,0,0,0,0,0,1,0,0,0,11.619128,-2.4011314,11.36832,0.79198474,0.6624294,0.48473284,0.6864407
2020-02-17 15:53:30,2,1,Jeff Voss,Sam Pollack,0,0,0,0,0,0,0,0,0,0,0,12.894869,7.8389883,10.23855,0.48473284,0.6864407,0.20801526,0.6080508
2020-02-17 15:53:34,2,1,Sam Pollack,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,4.1383286,-3.7429392,1.7652673,0.20801526,0.6080508,0.16030534,0.6454802
