Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-27 21:51:42,2,1,Victor Kao,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,7.5904746,5.296612,-5.437022,0.5038168,0.81920904,0.65076333,0.7662429
2020-02-27 21:51:45,2,1,Max Cohen,Gabe Stump,0,0,0,0,0,0,0,0,0,0,0,10.94274,10.381353,-3.4599242,0.65076333,0.7662429,0.7442748,0.6624294
2020-02-27 21:51:48,2,1,Gabe Stump,Sam Pollack,0,0,0,0,0,0,0,0,0,0,1,13.16791,12.146896,-5.083971,0.7442748,0.6624294,0.8816794,0.54096043
2020-02-27 21:51:56,2,1,Sam Pollack,Eliot Bemis,0,0,0,0,0,0,0,0,0,1,1,10.346914,10.24011,-1.4828236,0.8816794,0.54096043,0.92175573,0.43855932
2020-02-27 21:52:04,2,1,Eliot Bemis,Max Cohen,0,0,0,0,0,0,0,0,1,1,0,9.729371,-3.601694,9.038167,0.92175573,0.43855932,0.67748094,0.47457626
2020-02-27 21:52:07,2,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,7.2272396,6.0028257,-4.024808,0.67748094,0.47457626,0.78625953,0.414548
2020-02-27 21:52:10,2,1,Victor Kao,Evan Ma,1,1,0,1,0,0,0,0,0,0,0,26.17566,24.717512,8.614505,0.78625953,0.414548,0.5534351,0.16737288
2020-02-27 21:53:47,2,2,Max Cohen,Sam Pollack,1,1,0,0,0,0,0,0,0,1,1,17.1546,17.090393,-1.4828244,0.04389313,0.8128531,0.08396947,0.6419492
2020-02-27 21:54:31,3,1,Owen Marschall,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,12.554425,7.062149,-10.37977,0.1889313,0.7881356,0.46946564,0.7175141
2020-02-27 21:54:34,3,1,Max Cohen,Odie,0,0,0,0,0,0,0,0,0,0,0,19.78446,15.042371,-12.851146,0.46946564,0.7175141,0.8167939,0.5670904
2020-02-27 21:54:37,3,1,Odie,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,12.045412,-6.567794,10.097328,0.8167939,0.5670904,0.54389316,0.63276833
2020-02-27 21:54:41,3,1,Max Cohen,Jeff Voss,0,0,0,0,0,1,0,1,0,0,0,12.5749235,4.731637,11.650764,0.54389316,0.63276833,0.22900763,0.58545196
2020-02-27 21:54:45,3,1,Jeff Voss,Carter Thallon,0,0,0,1,1,0,1,0,0,0,0,45.032814,44.70339,-5.4370236,0.22900763,0.58545196,0.3759542,0.13841808
2020-02-27 21:55:49,5,1,Victor Kao,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,12.050965,6.3559294,-10.238551,0.22519083,0.8559322,0.5019084,0.7923729
2020-02-27 21:55:52,5,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,12.3,6.709039,10.30916,0.5019084,0.7923729,0.22328244,0.7252825
2020-02-27 21:55:58,5,1,Victor Kao,Odie,1,0,1,0,0,0,0,0,0,0,0,16.184427,15.960455,2.6832058,0.22328244,0.7252825,0.15076336,0.56567794
2020-02-27 21:57:19,6,1,Owen Marschall,Jeff Voss,0,0,0,0,0,0,0,0,0,0,0,14.127116,14.124292,-0.28244418,0.82251906,0.7168079,0.8301527,0.575565
2020-02-27 21:57:23,6,1,Jeff Voss,Owen Marschall,0,0,0,0,0,0,0,0,1,0,0,9.69496,-5.296612,8.12023,0.8301527,0.575565,0.610687,0.6285311
2020-02-27 21:57:27,6,1,Owen Marschall,Carter Thallon,0,0,0,0,0,0,0,0,0,0,0,11.727103,8.968931,-7.5553436,0.610687,0.6285311,0.8148855,0.5388418
2020-02-27 21:57:35,6,1,Carter Thallon,Ian McInerney,0,0,0,0,0,0,0,0,0,0,1,10.864579,9.675139,-4.9427476,0.8148855,0.5388418,0.9484733,0.4420904
2020-02-27 21:57:38,6,1,Ian McInerney,Sam Pollack,0,0,0,0,0,0,0,0,0,1,1,13.718749,13.700565,-0.70610714,0.9484733,0.4420904,0.96755725,0.30508474
2020-02-27 21:57:53,6,1,Sam Pollack,Owen Marschall,1,1,0,1,0,0,0,0,0,1,1,17.514694,17.514124,-0.14122099,0.96755725,0.30508474,0.97137403,0.1299435
2020-02-27 21:59:14,7,1,Alon Brown,Andrew Edelman,0,0,0,0,0,0,0,1,0,1,0,12.94838,-5.9322,-11.509542,0.0,0.7492938,0.3110687,0.8086158
2020-02-27 21:59:26,7,1,Andrew Edelman,Jesse Gan,0,0,0,0,0,0,0,1,0,0,1,13.166193,6.9915237,11.156488,0.3110687,0.8086158,0.009541985,0.73870057
2020-02-27 21:59:31,7,1,Jesse Gan,Andrew Edelman,0,0,0,0,0,0,0,0,1,1,0,17.32038,-9.18079,-14.687022,0.009541985,0.73870057,0.40648854,0.8305085
2020-02-27 21:59:34,7,1,Andrew Edelman,Josh Imhoff,0,0,0,0,0,0,0,0,0,0,0,15.646278,8.050847,-13.416031,0.40648854,0.8305085,0.769084,0.75
2020-02-27 21:59:40,7,1,Josh Imhoff,Andrew Edelman,0,0,0,0,0,0,0,0,0,0,1,11.011267,9.322035,-5.8606873,0.769084,0.75,0.92748094,0.65677965
2020-02-27 22:00:06,7,1,Andrew Edelman,Ruozhou Ye,1,1,1,1,0,0,1,0,0,1,0,68.67351,64.97175,22.242367,0.92748094,0.65677965,0.32633588,0.007062147
2020-02-27 22:00:55,7,2,Ruozhou Ye,Sam Alston,0,0,0,0,0,0,0,0,0,1,0,29.845652,18.29096,23.583971,0.8721374,0.53531075,0.23473282,0.35240114
2020-02-27 22:01:11,7,2,Sam Alston,Carter Wang,0,0,0,0,0,0,0,0,0,0,1,12.22308,11.7231655,3.4599235,0.23473282,0.35240114,0.14122137,0.23516949
2020-02-27 22:01:15,7,2,Carter Wang,Sam Alston,0,0,0,0,0,0,0,0,1,1,0,4.9497175,-3.6723182,-3.318702,0.14122137,0.23516949,0.23091602,0.27189267
2020-02-27 22:01:19,7,2,Sam Alston,Andrew Edelman,0,0,0,0,0,0,0,0,0,0,1,8.4634075,4.8728824,6.919847,0.23091602,0.27189267,0.04389313,0.22316384
2020-02-27 22:01:25,7,2,Andrew Edelman,Sam Alston,0,0,0,0,0,0,0,0,1,1,0,8.593672,-5.8615804,-6.284351,0.04389313,0.22316384,0.21374045,0.28177965
2020-02-27 22:01:29,7,2,Sam Alston,Alon Brown,0,0,0,0,0,0,0,0,0,0,0,10.94675,1.7655343,-10.803435,0.21374045,0.28177965,0.5057252,0.2641243
2020-02-27 22:01:31,7,2,Alon Brown,Sam Alston,0,0,0,0,0,1,0,0,0,0,0,11.414124,4.5903964,-10.450381,0.5057252,0.2641243,0.78816795,0.21822034
2020-02-27 22:01:40,7,2,Sam Alston,Ruozhou Ye,0,0,0,1,1,0,0,0,0,0,1,10.094998,9.533898,-3.3187008,0.78816795,0.21822034,0.8778626,0.12288135
2020-02-27 22:02:48,9,1,Evan Ma,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,11.846805,7.9802275,-8.755727,0.2977099,0.90183616,0.53435117,0.8220339
2020-02-27 22:02:54,9,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,0,0,1,15.898694,10.663843,-11.791985,0.53435117,0.8220339,0.85305345,0.71539545
2020-02-27 22:02:59,9,1,Victor Kao,Max Cohen,0,0,0,0,0,0,0,0,1,1,0,7.2152004,-4.6610174,5.507634,0.85305345,0.71539545,0.7041985,0.7620056
2020-02-27 22:03:04,9,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,1,0,0,7.2135267,-2.8248608,6.637404,0.7041985,0.7620056,0.5248092,0.79025424
2020-02-27 22:03:09,9,1,Victor Kao,Ian McInerney,0,0,0,0,0,0,0,0,0,0,0,19.957842,16.101694,-11.791985,0.5248092,0.79025424,0.84351146,0.6292373
2020-02-27 22:03:15,9,1,Ian McInerney,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,9.661947,7.6271176,5.931299,0.84351146,0.6292373,0.6832061,0.5529661
2020-02-27 22:03:23,9,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,1,0,0,7.899597,-5.8615804,5.295801,0.6832061,0.5529661,0.5400763,0.6115819
2020-02-27 22:03:26,9,1,Victor Kao,Evan Ma,0,0,0,0,0,0,0,0,0,0,0,10.807401,1.7655373,10.662213,0.5400763,0.6115819,0.2519084,0.59392655
2020-02-27 22:03:43,9,1,Evan Ma,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,7.3303204,-1.6949177,-7.1316795,0.2519084,0.59392655,0.4446565,0.6108757
2020-02-27 22:03:48,9,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,1,0,0,7.400741,-1.977402,7.1316795,0.4446565,0.6108757,0.2519084,0.63064975
2020-02-27 22:03:51,9,1,Victor Kao,Gabe Stump,0,0,0,0,0,0,0,0,0,0,0,9.179598,3.5310745,-8.473283,0.2519084,0.63064975,0.48091602,0.595339
2020-02-27 22:03:57,9,1,Gabe Stump,Evan Ma,0,0,0,0,0,0,0,0,1,0,0,4.132958,-3.954798,-1.2003818,0.48091602,0.595339,0.5133588,0.634887
2020-02-27 22:03:59,9,1,Evan Ma,Victor Kao,0,0,0,0,0,0,0,1,0,0,0,12.07959,-0.35310984,12.074428,0.5133588,0.634887,0.1870229,0.6384181
2020-02-27 22:04:05,9,1,Victor Kao,Jeff Voss,0,0,0,0,0,0,0,0,0,0,0,20.272789,20.268362,0.42366406,0.1870229,0.6384181,0.17557251,0.43573445
2020-02-27 22:04:21,9,1,Jeff Voss,Max Cohen,0,0,0,0,0,0,0,1,0,0,0,12.183439,-4.7316403,-11.227099,0.17557251,0.43573445,0.47900763,0.48305085
2020-02-27 22:04:46,9,1,Max Cohen,Eliot Bemis,0,0,0,0,0,0,0,0,0,0,0,10.510225,6.4971743,8.26145,0.47900763,0.48305085,0.2557252,0.4180791
2020-02-27 22:04:51,9,1,Eliot Bemis,Ian McInerney,0,0,0,0,0,0,0,0,0,0,1,12.077881,11.228815,4.448474,0.2557252,0.4180791,0.13549618,0.30579096
2020-02-27 22:04:57,9,1,Ian McInerney,Eliot Bemis,0,0,0,0,0,1,0,0,0,1,0,10.012248,8.898304,-4.589695,0.13549618,0.30579096,0.259542,0.21680792
2020-02-27 22:05:00,9,1,Eliot Bemis,Gabe Stump,0,0,0,1,1,0,0,0,0,0,0,9.22389,8.333334,3.9541986,0.259542,0.21680792,0.15267175,0.13347457
2020-02-27 22:06:10,10,1,Andrew Edelman,Josh Imhoff,0,0,0,0,0,0,0,0,0,1,0,11.395772,8.403957,-7.6965647,0.057251908,0.7740113,0.26526716,0.68997175
2020-02-27 22:06:17,10,1,Josh Imhoff,Towell,0,0,0,0,0,0,0,1,0,0,0,20.619602,5.0847473,-19.982826,0.26526716,0.68997175,0.8053435,0.6391243
2020-02-27 22:06:22,10,1,Towell,Ruozhou Ye,1,1,0,0,0,0,0,0,0,0,0,14.585094,14.336157,2.6832054,0.8053435,0.6391243,0.73282444,0.4957627
2020-02-27 22:07:24,11,1,Max Cohen,Evan Ma,0,0,0,0,0,0,0,0,1,0,0,11.621126,-5.2259865,10.37977,0.51717556,0.6532486,0.23664123,0.7055085
2020-02-27 22:07:28,11,1,Evan Ma,Odie,0,0,0,0,0,0,0,0,0,0,0,12.176536,9.60452,-7.484732,0.23664123,0.7055085,0.4389313,0.6094633
2020-02-27 22:07:41,11,1,Odie,Gabe Stump,1,1,0,0,0,0,1,0,0,0,0,40.990402,40.81921,3.742366,0.4389313,0.6094633,0.33778626,0.20127119
2020-02-27 22:08:28,12,1,Owen Marschall,Max Cohen,0,0,0,0,0,0,0,1,0,1,0,12.284924,2.612996,12.003817,0.9446565,0.71398306,0.620229,0.6878531
2020-02-27 22:08:33,12,1,Max Cohen,Jeff Voss,0,0,0,0,0,1,0,0,0,0,0,17.955935,17.090393,-5.507634,0.620229,0.6878531,0.769084,0.5169492
2020-02-27 22:08:40,12,1,Jeff Voss,Eliot Bemis,0,0,0,1,1,0,1,0,0,0,0,38.704693,38.70057,-0.56488615,0.769084,0.5169492,0.78435117,0.1299435
2020-02-27 22:11:28,14,1,Victor Kao,Evan Ma,0,0,0,0,0,0,0,0,0,0,0,10.733056,0.07061958,10.732823,0.5629771,0.70621467,0.27290076,0.7055085
2020-02-27 22:11:32,14,1,Evan Ma,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,8.198448,0.35310984,-8.19084,0.27290076,0.7055085,0.4942748,0.7019774
2020-02-27 22:11:37,14,1,Victor Kao,Carter Thallon,1,1,0,0,0,0,0,0,0,0,0,25.125372,22.033894,-12.074429,0.4942748,0.7019774,0.8206107,0.48163843
2020-02-27 22:12:32,15,1,Geo Zheng,Alon Brown,0,0,0,0,0,0,0,0,0,0,0,7.624746,7.344633,-2.04771,0.71755725,0.86440676,0.77290076,0.79096043
2020-02-27 22:12:39,15,1,Alon Brown,Geo Zheng,0,0,0,0,0,0,0,0,0,0,0,10.018051,1.6242921,9.885495,0.77290076,0.79096043,0.5057252,0.7747175
2020-02-27 22:12:43,15,1,Geo Zheng,Stouf,0,0,0,0,0,0,0,0,0,0,0,12.324224,9.392654,7.9790077,0.5057252,0.7747175,0.29007635,0.68079096
2020-02-27 22:12:51,15,1,Stouf,Ruozhou Ye,0,0,0,0,0,0,0,0,0,0,0,15.159636,8.262712,-12.709923,0.29007635,0.68079096,0.6335878,0.59816384
2020-02-27 22:12:56,15,1,Ruozhou Ye,Towell,0,0,0,0,0,0,0,0,0,0,1,13.483447,9.675139,-9.391221,0.6335878,0.59816384,0.88740456,0.50141245
2020-02-27 22:12:59,15,1,Towell,Stouf,0,0,0,0,0,0,0,0,0,1,1,10.26443,10.240114,-0.70610714,0.88740456,0.50141245,0.90648854,0.3990113
2020-02-27 22:13:02,15,1,Stouf,Ruozhou Ye,0,0,0,0,0,0,0,0,1,1,0,12.201737,-6.8502812,10.097328,0.90648854,0.3990113,0.6335878,0.46751413
2020-02-27 22:13:07,15,1,Ruozhou Ye,Jon Kwan,0,0,0,0,0,0,0,1,0,0,0,13.986791,3.954804,13.41603,0.6335878,0.46751413,0.27099237,0.4279661
2020-02-27 22:13:10,15,1,Jon Kwan,Alon Brown,0,0,0,0,0,0,0,0,1,0,0,8.445985,-6.21469,-5.7194653,0.27099237,0.4279661,0.4255725,0.490113
2020-02-27 22:13:14,15,1,Alon Brown,Ruozhou Ye,0,0,0,0,0,0,0,1,0,0,0,13.943754,6.8502812,-12.145038,0.4255725,0.490113,0.7538168,0.42161018
2020-02-27 22:13:16,15,1,Ruozhou Ye,Towell,0,0,0,0,0,0,0,0,0,0,0,11.647086,11.299435,-2.8244286,0.7538168,0.42161018,0.8301527,0.30861583
2020-02-27 22:13:19,15,1,Towell,Ruozhou Ye,0,0,0,0,0,1,0,0,0,0,0,9.035309,7.6977415,4.7309175,0.8301527,0.30861583,0.70229006,0.23163842
2020-02-27 22:13:28,15,1,Ruozhou Ye,Alon Brown,0,0,0,1,1,0,0,0,0,0,1,15.941719,13.841808,-7.908397,0.70229006,0.23163842,0.9160305,0.09322034
2020-02-27 22:14:35,16,1,Andrew Edelman,Jesse Gan,0,0,0,0,0,0,0,0,0,1,1,15.311796,15.183616,1.9771004,0.9446565,0.605226,0.89122134,0.45338982
2020-02-27 22:14:44,16,1,Jesse Gan,Ruozhou Ye,0,0,0,0,0,0,0,1,0,1,0,13.326597,-2.2598863,13.133587,0.89122134,0.45338982,0.53625953,0.4759887
2020-02-27 22:14:48,16,1,Ruozhou Ye,Carter Wang,0,0,0,0,0,0,0,1,0,0,1,16.743643,7.909602,14.757634,0.53625953,0.4759887,0.13740458,0.39689267
2020-02-27 22:14:51,16,1,Carter Wang,Andrew Edelman,0,0,0,0,0,0,0,0,0,1,1,12.516144,12.5,0.6354961,0.13740458,0.39689267,0.120229006,0.27189267
2020-02-27 22:14:59,16,1,Andrew Edelman,Ruozhou Ye,0,0,0,0,0,0,0,0,1,1,0,10.681581,-5.579096,-9.108779,0.120229006,0.27189267,0.36641222,0.32768363
2020-02-27 22:15:04,16,1,Ruozhou Ye,Josh Imhoff,0,0,0,0,0,0,0,0,0,0,0,14.948766,12.641244,7.9790077,0.36641222,0.32768363,0.15076336,0.20127119
2020-02-27 22:15:08,16,1,Josh Imhoff,Ruozhou Ye,0,0,0,0,0,0,0,0,1,0,0,7.360375,-3.460452,-6.496183,0.15076336,0.20127119,0.32633588,0.23587571
2020-02-27 22:15:17,16,1,Ruozhou Ye,Josh Imhoff,0,0,0,0,0,0,0,0,0,0,1,8.318448,5.0141244,6.6374044,0.32633588,0.23587571,0.14694656,0.18573447
2020-02-27 22:15:29,16,1,Josh Imhoff,Alon Brown,0,0,0,0,0,0,0,0,1,1,0,7.2929997,-5.2966104,-5.0133586,0.14694656,0.18573447,0.28244275,0.23870057
2020-02-27 22:15:33,16,1,Alon Brown,Ruozhou Ye,0,0,0,0,0,0,0,0,0,0,0,9.233916,2.4717524,-8.896946,0.28244275,0.23870057,0.52290076,0.21398304
2020-02-27 22:15:40,16,1,Ruozhou Ye,Alon Brown,0,0,0,0,0,0,0,0,0,0,0,10.167938,0.0,10.167938,0.52290076,0.21398304,0.24809161,0.21398304
2020-02-27 22:15:50,16,1,Alon Brown,Jesse Gan,1,1,0,1,0,0,0,0,0,0,0,9.07571,8.474575,3.2480922,0.24809161,0.21398304,0.16030534,0.1292373
2020-02-27 22:16:39,17,1,Evan Ma,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,8.041663,2.3305058,7.6965637,0.5954198,0.86864406,0.3874046,0.845339
2020-02-27 22:16:42,17,1,Max Cohen,Ian McInerney,0,0,0,0,0,0,0,0,0,0,0,13.396808,11.158192,7.4141226,0.3874046,0.845339,0.1870229,0.7337571
2020-02-27 22:16:45,17,1,Ian McInerney,Odie,0,0,0,0,0,0,0,0,0,0,0,15.196909,15.183616,0.6354961,0.1870229,0.7337571,0.16984732,0.5819209
2020-02-27 22:17:04,17,1,Odie,Ian McInerney,0,0,0,0,0,0,0,0,0,0,0,8.47035,4.0960493,-7.414122,0.16984732,0.5819209,0.370229,0.54096043
2020-02-27 22:17:11,17,1,Ian McInerney,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,8.290058,-8.050847,1.9770993,0.370229,0.54096043,0.3167939,0.6214689
2020-02-27 22:17:17,17,1,Max Cohen,Evan Ma,0,0,0,0,0,0,0,0,0,0,1,16.39293,14.548021,7.5553436,0.3167939,0.6214689,0.11259542,0.4759887
2020-02-27 22:17:19,17,1,Evan Ma,Max Cohen,0,0,0,0,0,0,0,1,0,1,0,12.324827,-2.471751,-12.074428,0.11259542,0.4759887,0.4389313,0.5007062
