Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-26 08:51:08,1,1,Victor Kao,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,9.40768,5.790961,-7.4141226,0.30152673,0.7295198,0.5019084,0.6716102
2020-02-26 08:51:16,1,1,Max Cohen,Gabe Stump,0,0,0,0,0,0,0,0,0,0,0,17.570406,14.477402,-9.956105,0.5019084,0.6716102,0.77099234,0.52683616
2020-02-26 08:51:28,1,1,Gabe Stump,Sam Pollack,1,1,1,1,0,0,1,0,0,0,0,40.31183,39.971752,5.2251897,0.77099234,0.52683616,0.629771,0.12711865
2020-02-26 08:52:20,1,2,Victor Kao,Odie,0,0,0,0,0,0,0,0,0,0,0,15.249084,14.971751,2.895039,0.39694658,0.81920904,0.31870228,0.6694915
2020-02-26 08:52:25,1,2,Odie,Jeff Voss,0,0,0,0,0,0,0,0,0,0,0,14.632453,14.618647,0.63549554,0.31870228,0.6694915,0.30152673,0.52330506
2020-02-26 08:52:35,1,2,Jeff Voss,Max Cohen,1,1,0,0,0,0,0,1,0,0,0,11.245074,0.63558817,-11.227098,0.30152673,0.52330506,0.6049618,0.5169492
2020-02-26 08:53:03,1,3,Max Cohen,Sam Pollack,0,0,0,0,0,0,0,0,0,1,1,19.632769,19.632769,0.0,1.0,0.8283898,1.0,0.63206214
2020-02-26 08:53:11,1,3,Sam Pollack,Gabe Stump,0,0,0,0,0,0,0,0,0,1,0,14.04452,11.793786,7.625953,1.0,0.63206214,0.79389316,0.5141243
2020-02-26 08:53:15,1,3,Gabe Stump,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,7.33065,-4.307914,5.931299,0.79389316,0.5141243,0.6335878,0.5572034
2020-02-26 08:53:33,1,3,Max Cohen,Gabe Stump,1,1,0,1,0,0,1,0,0,0,0,42.840008,42.090397,7.9790077,0.6335878,0.5572034,0.41793892,0.13629943
