Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-26 20:24:40,1,1,Andrew Edelman,Carter Wang,0,0,0,0,0,0,0,0,0,0,0,15.189526,15.183616,0.42366406,0.1870229,0.82274014,0.17557251,0.670904
2020-02-26 20:24:44,1,1,Carter Wang,Sam Alston,0,0,0,0,0,0,0,0,0,0,0,15.478326,13.700569,-7.20229,0.17557251,0.670904,0.370229,0.5338983
2020-02-26 20:24:49,1,1,Sam Alston,Andrew Edelman,0,0,0,0,0,0,0,0,1,0,0,6.735867,-5.8615804,3.318702,0.370229,0.5338983,0.28053436,0.5925141
2020-02-26 20:24:54,1,1,Andrew Edelman,Sam Alston,1,1,0,0,0,0,0,0,0,0,0,13.309961,13.064968,-2.5419843,0.28053436,0.5925141,0.34923664,0.4618644
2020-02-26 20:26:06,2,1,Victor Kao,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,8.801144,6.920904,5.437022,0.7041985,0.80225986,0.55725193,0.7330508
2020-02-26 20:26:12,2,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,13.650241,13.064968,3.9541998,0.55725193,0.7330508,0.45038167,0.60240114
2020-02-26 20:26:14,2,1,Victor Kao,Ian McInerney,0,0,0,0,0,0,0,0,0,0,0,9.6957655,5.5084763,-7.9790077,0.45038167,0.60240114,0.6660305,0.5473164
2020-02-26 20:26:21,2,1,Ian McInerney,Jeff Voss,0,0,0,0,0,1,0,0,0,0,0,12.858574,11.652541,-5.437022,0.6660305,0.5473164,0.8129771,0.43079096
2020-02-26 20:26:27,2,1,Jeff Voss,Gabe Stump,0,0,0,1,1,0,0,0,0,0,0,30.344511,29.096043,8.614502,0.8129771,0.43079096,0.5801527,0.13983051
2020-02-26 20:28:00,4,1,Owen Marschall,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,10.075943,9.463274,-3.459923,0.4980916,0.78601694,0.59160304,0.6913842
2020-02-26 20:28:09,4,1,Victor Kao,Evan Ma,0,0,0,0,0,0,0,1,0,0,0,15.632433,7.1327686,13.910305,0.59160304,0.6913842,0.21564886,0.6200565
2020-02-26 20:28:19,4,1,Evan Ma,Owen Marschall,0,0,0,0,0,0,0,1,0,0,0,14.957907,-3.1779647,-14.616412,0.21564886,0.6200565,0.610687,0.65183616
2020-02-26 20:28:24,4,1,Owen Marschall,Eliot Bemis,0,0,0,0,0,0,0,0,0,0,0,11.552899,8.615822,-7.6965647,0.610687,0.65183616,0.8187023,0.56567794
2020-02-26 20:28:33,4,1,Eliot Bemis,Sam Pollack,0,0,0,0,0,0,0,0,0,0,0,9.681579,9.675139,0.35305357,0.8187023,0.56567794,0.8091603,0.46892655
2020-02-26 20:28:41,4,1,Sam Pollack,Odie,0,0,0,0,0,1,0,0,0,0,1,10.773554,10.451976,-2.612596,0.8091603,0.46892655,0.879771,0.3644068
