Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-18 18:40:16,1,1,,,0,0,0,0,0,0,0,0,0,0,0,15.708006,13.488704,8.049617,0.5496183,0.80508476,0.33206108,0.6701977
2020-02-18 18:40:16,1,1,,,0,0,0,0,0,0,0,0,0,0,0,17.501257,10.240114,-14.192747,0.33206108,0.6701977,0.71564883,0.5677966
2020-02-18 18:40:17,1,1,,,0,0,0,0,0,0,0,0,0,0,0,18.57214,11.723161,14.404579,0.71564883,0.5677966,0.32633588,0.45056498
2020-02-18 18:40:18,1,1,,,1,1,1,0,0,0,0,0,0,0,0,15.170103,8.898306,-12.28626,0.32633588,0.45056498,0.65839696,0.36158192
2020-02-18 18:41:18,2,1,Owen Marschall,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,10.642177,4.731643,-9.532443,0.29389313,0.740113,0.5515267,0.6927966
2020-02-18 18:42:02,2,1,Max Cohen,Jeff Voss,0,0,0,0,0,0,0,0,0,0,0,18.135363,14.406776,-11.015268,0.5515267,0.6927966,0.84923667,0.5487288
2020-02-18 18:42:03,2,1,Jeff Voss,Jesse Gan,0,0,0,0,0,0,0,0,0,0,1,10.738181,10.734466,-0.28244197,0.84923667,0.5487288,0.85687023,0.44138417
2020-02-18 18:42:06,2,1,Jesse Gan,Sam Pollack,0,0,0,0,0,0,0,0,0,1,1,6.9299035,6.920904,-0.35305357,0.85687023,0.44138417,0.8664122,0.37217513
2020-02-18 18:42:07,2,1,Sam Pollack,Max Cohen,0,0,0,0,0,0,0,0,1,1,1,5.0739264,-5.0141244,-0.77671653,0.8664122,0.37217513,0.88740456,0.42231637
2020-02-18 18:42:10,2,1,Max Cohen,Odie,0,0,0,0,0,1,0,1,0,1,0,13.856008,3.1779647,13.486641,0.88740456,0.42231637,0.52290076,0.39053673
2020-02-18 18:42:12,2,1,Odie,Jeff Voss,0,0,0,1,1,0,0,0,0,0,0,27.714756,25.211864,11.509542,0.52290076,0.39053673,0.21183206,0.13841808
2020-02-18 18:44:44,4,1,Owen Marschall,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,18.019686,18.008476,0.6354966,0.46374047,0.76059324,0.44656488,0.5805085
2020-02-18 18:45:06,4,1,Max Cohen,Carter Thallon,1,1,1,0,0,0,0,0,0,0,0,34.285202,34.110172,3.4599242,0.44656488,0.5805085,0.35305342,0.23940678
2020-02-18 18:46:06,4,2,Max Cohen,Sam Pollack,0,0,0,0,0,1,0,0,0,1,1,14.834707,14.830505,-0.35305136,0.9465649,0.4279661,0.95610684,0.27966103
2020-02-18 18:46:11,4,2,Sam Pollack,Odie,0,0,0,1,1,0,0,0,0,1,1,13.503664,13.488703,0.63549554,0.95610684,0.27966103,0.9389313,0.144774
2020-02-18 18:47:26,5,1,Josh Imhoff,Andrew Edelman,0,0,0,0,0,0,0,0,0,0,1,16.04471,14.265537,7.343511,0.28625953,0.8418079,0.08778626,0.6991525
2020-02-18 18:47:28,5,1,Andrew Edelman,Josh Imhoff,0,0,0,0,0,0,0,1,0,1,0,14.812282,-1.2711883,-14.757634,0.08778626,0.6991525,0.48664123,0.7118644
2020-02-18 18:47:34,5,1,Josh Imhoff,Sam Feder,0,0,0,0,0,0,0,0,0,0,1,16.628044,9.11017,-13.910306,0.48664123,0.7118644,0.86259544,0.6207627
2020-02-18 18:47:36,5,1,Sam Feder,Towell,0,0,0,0,0,0,0,0,0,1,1,11.874697,11.864406,-0.49427456,0.86259544,0.6207627,0.8759542,0.50211865
2020-02-18 18:47:41,5,1,Towell,Alon Brown,0,0,0,0,0,0,0,0,1,1,0,10.098121,-6.0028257,8.12023,0.8759542,0.50211865,0.65648854,0.5621469
