Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-17 22:49:04,2,1,Owen Marschall,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,8.865884,8.403957,2.8244274,0.48473284,0.7881356,0.40839696,0.704096
2020-02-17 22:49:17,2,1,Victor Kao,Max Cohen,0,0,0,0,0,1,0,0,0,0,0,16.12434,15.254235,5.2251906,0.40839696,0.704096,0.26717559,0.55155367
2020-02-17 22:49:25,2,1,Max Cohen,Eliot Bemis,0,0,0,1,1,0,1,0,0,0,0,40.253468,39.759888,-6.2843504,0.26717559,0.55155367,0.4370229,0.1539548
2020-02-17 22:51:34,3,1,Alon Brown,Swan,1,1,0,0,0,0,1,0,0,0,0,44.95101,41.03107,18.358778,0.6793893,0.7217514,0.18320611,0.31144068
2020-02-17 22:52:58,4,1,Victor Kao,Geo Zheng,0,0,0,0,0,0,0,0,0,0,0,8.550308,5.720335,6.3549614,0.40458015,0.7019774,0.23282443,0.644774
2020-02-17 22:53:06,4,1,Geo Zheng,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,10.523125,-0.21186471,-10.520991,0.23282443,0.644774,0.51717556,0.64689267
2020-02-17 22:53:10,4,1,Max Cohen,Carter Thallon,0,0,0,0,0,0,0,0,0,0,0,9.4236965,5.0141277,-7.9790087,0.51717556,0.64689267,0.73282444,0.5967514
2020-02-17 22:53:17,4,1,Carter Thallon,Eliot Bemis,0,0,0,0,0,0,0,0,0,0,0,7.3017154,7.274008,0.63549775,0.73282444,0.5967514,0.71564883,0.5240113
2020-02-17 22:53:24,4,1,Eliot Bemis,Max Cohen,0,0,0,0,0,0,0,0,0,0,1,5.5094447,-0.14123917,-5.507634,0.71564883,0.5240113,0.8645038,0.5254237
2020-02-17 22:53:28,4,1,Max Cohen,Sam Pollack,0,0,0,0,0,0,0,0,0,1,1,9.061855,9.039545,-0.63549775,0.8645038,0.5254237,0.8816794,0.43502825
2020-02-17 22:53:34,4,1,Sam Pollack,Victor Kao,0,0,0,0,0,0,0,1,0,1,0,21.358198,1.2005657,21.324429,0.8816794,0.43502825,0.3053435,0.4230226
2020-02-17 22:53:42,4,1,Victor Kao,Carter Thallon,0,0,0,0,0,0,0,1,0,0,0,20.03778,-1.48305,-19.982824,0.3053435,0.4230226,0.8454198,0.4378531
2020-02-17 22:53:47,4,1,Carter Thallon,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,11.194221,-1.5536726,11.085877,0.8454198,0.4378531,0.5458015,0.45338982
2020-02-17 22:54:11,4,1,Max Cohen,Victor Kao,1,1,0,0,0,0,0,0,0,0,0,7.1546297,5.3672314,-4.730915,0.5458015,0.45338982,0.6736641,0.3997175
