Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-25 08:46:38,2,1,Owen Marschall,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,8.976237,1.977396,-8.755726,0.23854962,0.7464689,0.47519085,0.72669494
2020-02-25 08:46:44,2,1,Max Cohen,Eliot Bemis,1,1,0,0,0,0,0,0,0,0,0,18.63941,16.878532,-7.9083962,0.47519085,0.72669494,0.6889313,0.5579096
2020-02-25 08:47:20,2,2,Max Cohen,Eliot Bemis,0,0,0,0,0,0,0,0,0,0,0,17.598919,17.584747,0.70610714,0.6908397,0.82344633,0.67175573,0.64759886
2020-02-25 08:47:29,2,2,Eliot Bemis,Sam Pollack,0,0,0,0,0,0,0,0,0,0,0,17.960844,17.725988,2.895038,0.67175573,0.64759886,0.59351146,0.47033897
2020-02-25 08:47:35,2,2,Sam Pollack,Victor Kao,0,0,0,0,0,0,0,0,1,0,0,11.684349,-8.262714,8.261451,0.59351146,0.47033897,0.370229,0.5529661
2020-02-25 08:47:37,2,2,Victor Kao,Eliot Bemis,0,0,0,0,0,0,0,0,0,0,1,12.896578,8.686441,9.532443,0.370229,0.5529661,0.11259542,0.4661017
2020-02-25 08:47:41,2,2,Eliot Bemis,Odie,0,0,0,0,0,1,0,0,0,1,1,20.18167,20.127121,1.4828242,0.11259542,0.4661017,0.07251909,0.2648305
2020-02-25 08:47:48,2,2,Odie,Jeff Voss,0,0,0,1,1,0,0,0,0,1,0,12.646336,11.864406,-4.3778625,0.07251909,0.2648305,0.1908397,0.14618644
2020-02-25 08:48:37,3,1,Andrew Edelman,Sam Alston,0,0,0,0,0,1,0,0,0,0,0,16.734694,16.031073,-4.801527,0.29389313,0.3559322,0.42366412,0.19562148
2020-02-25 08:48:41,3,1,Sam Alston,Ian McInerney,0,0,0,1,1,0,0,0,0,0,0,10.899224,5.6497188,9.32061,0.42366412,0.19562148,0.17175573,0.13912429
2020-02-25 08:49:29,4,1,Jon Kwan,Alon Brown,0,0,0,0,0,0,0,0,0,1,0,7.3452945,4.5197754,-5.7900763,0.047709923,0.53954804,0.20419848,0.49435028
2020-02-25 08:49:41,4,1,Alon Brown,Jon Kwan,0,0,0,0,0,0,0,1,0,0,0,13.945461,2.6129932,-13.698473,0.20419848,0.49435028,0.5744275,0.46822035
2020-02-25 08:49:53,4,1,Jon Kwan,Ruozhou Ye,0,0,0,0,0,0,0,0,0,0,0,18.027618,12.923729,12.568703,0.5744275,0.46822035,0.23473282,0.33898306
2020-02-25 08:49:58,4,1,Ruozhou Ye,Jesse Gan,0,0,0,0,0,0,0,0,0,0,1,8.48105,4.80226,6.9904575,0.23473282,0.33898306,0.045801528,0.29096046
2020-02-25 08:50:01,4,1,Jesse Gan,Ruozhou Ye,0,0,0,0,0,0,0,1,0,1,0,12.655981,-3.0367227,-12.28626,0.045801528,0.29096046,0.3778626,0.3213277
2020-02-25 08:50:12,4,1,Ruozhou Ye,Alon Brown,0,0,0,0,0,0,0,0,0,0,1,9.873697,1.977402,9.673664,0.3778626,0.3213277,0.116412215,0.30155367
2020-02-25 08:50:18,4,1,Alon Brown,Ruozhou Ye,0,0,0,0,0,1,0,0,0,1,0,11.72953,4.731637,-10.732823,0.116412215,0.30155367,0.40648854,0.2542373
2020-02-25 08:50:26,4,1,Ruozhou Ye,Jon Kwan,0,0,0,1,1,0,0,0,0,0,1,19.96074,9.957628,-17.299618,0.40648854,0.2542373,0.8740458,0.15466101
2020-02-25 08:51:27,5,1,Sam Alston,Alon Brown,0,0,0,0,0,0,0,0,1,0,0,13.770643,-11.864406,6.990458,0.34732825,0.5670904,0.15839694,0.68573445
2020-02-25 08:51:33,5,1,Alon Brown,Stouf,0,0,0,0,0,0,0,0,0,0,0,35.105663,35.028248,-2.330153,0.15839694,0.68573445,0.22137405,0.335452
2020-02-25 08:51:36,5,1,Stouf,Ruozhou Ye,0,0,0,0,0,0,0,0,1,0,0,7.579215,-2.7542353,-7.0610685,0.22137405,0.335452,0.41221374,0.36299434
2020-02-25 08:51:52,5,1,Ruozhou Ye,Andrew Edelman,0,0,0,0,0,0,0,0,1,0,0,9.580724,-9.11017,-2.9656484,0.41221374,0.36299434,0.4923664,0.45409605
2020-02-25 08:51:55,5,1,Andrew Edelman,Alon Brown,0,0,0,0,0,0,0,1,0,0,0,12.980888,6.0028257,-11.5095415,0.4923664,0.45409605,0.8034351,0.3940678
2020-02-25 08:51:58,5,1,Alon Brown,Andrew Edelman,0,0,0,0,0,0,0,0,0,0,0,10.381932,0.21186471,10.37977,0.8034351,0.3940678,0.52290076,0.39194915
2020-02-25 08:52:04,5,1,Andrew Edelman,Stouf,0,0,0,0,0,0,0,0,0,0,0,13.752712,8.686441,10.662214,0.52290076,0.39194915,0.23473282,0.30508474
