Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-28 07:51:31,2,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,11.173041,4.307908,-10.30916,0.5,0.64689267,0.77862597,0.6038136
2020-02-28 07:51:33,2,1,Victor Kao,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,10.574188,-1.0593176,10.520993,0.77862597,0.6038136,0.4942748,0.61440676
2020-02-28 07:51:36,2,1,Max Cohen,Jeff Voss,0,0,0,0,0,0,0,0,0,0,0,12.737101,11.935025,4.448473,0.4942748,0.61440676,0.3740458,0.4950565
2020-02-28 07:51:52,2,1,Jeff Voss,Gabe Stump,1,1,0,1,0,0,1,0,0,0,0,37.005917,37.00565,0.14122099,0.3740458,0.4950565,0.370229,0.125
2020-02-28 07:53:53,3,1,Andrew Edelman,Ruozhou Ye,0,0,0,0,0,0,0,0,0,0,0,10.746314,1.3418078,10.662214,0.519084,0.6391243,0.23091602,0.6257062
2020-02-28 07:53:57,3,1,Ruozhou Ye,Andrew Edelman,0,0,0,0,0,0,0,1,0,0,0,12.8399,4.1666627,-12.145038,0.23091602,0.6257062,0.5591603,0.58403957
2020-02-28 07:54:00,3,1,Andrew Edelman,Josh Imhoff,0,0,0,0,0,0,0,0,0,0,1,19.873615,13.983053,-14.122138,0.5591603,0.58403957,0.9408397,0.44420904
2020-02-28 07:54:10,3,1,Josh Imhoff,Andrew Edelman,0,0,0,0,0,1,0,0,1,1,0,11.699793,-8.686441,7.8377857,0.9408397,0.44420904,0.72900766,0.53107345
2020-02-28 07:54:15,3,1,Andrew Edelman,Josh Imhoff,0,0,0,1,1,0,1,0,0,0,0,41.30269,38.629944,14.616413,0.72900766,0.53107345,0.33396947,0.144774
2020-02-28 07:55:06,4,1,Ruozhou Ye,Eliot Bemis,0,0,0,0,0,0,0,0,0,0,0,11.583252,9.392654,-6.778626,0.18320611,0.81991524,0.36641222,0.7259887
