Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-18 22:13:20,1,1,Owen Marschall,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,14.506102,13.206214,-6.0019073,0.48854962,0.80649716,0.65076333,0.674435
2020-02-18 22:13:24,1,1,Max Cohen,Gabe Stump,0,0,0,0,0,0,0,0,0,0,1,15.975538,12.923729,-9.391223,0.65076333,0.674435,0.9045802,0.5451977
2020-02-18 22:13:30,1,1,Gabe Stump,Jeff Voss,1,1,0,1,0,0,1,0,0,1,0,40.97179,39.830505,9.603054,0.9045802,0.5451977,0.6450382,0.14689265
2020-02-18 22:14:13,1,2,Max Cohen,Owen Marschall,0,0,0,0,0,0,0,0,0,0,0,14.341645,13.488701,-4.8721385,0.64694655,0.56497175,0.77862597,0.43008474
2020-02-18 22:14:22,1,2,Owen Marschall,Sam Pollack,0,0,0,0,0,0,0,0,0,0,1,14.367254,13.771185,-4.09542,0.77862597,0.43008474,0.889313,0.29237288
2020-02-18 22:14:30,1,2,Sam Pollack,Max Cohen,0,0,0,0,0,0,0,0,1,1,0,13.40502,-7.8389826,10.874047,0.889313,0.29237288,0.5954198,0.3707627
2020-02-18 22:14:37,1,2,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,11.328274,6.638417,-9.179391,0.5954198,0.3707627,0.84351146,0.30437854
2020-02-18 22:14:43,1,2,Victor Kao,Max Cohen,0,0,0,0,0,0,0,1,0,0,0,14.612498,-5.790961,13.416031,0.84351146,0.30437854,0.48091602,0.36228815
2020-02-18 22:14:47,1,2,Max Cohen,Odie,0,0,0,0,0,0,0,0,0,0,0,10.064579,7.6271205,-6.5667944,0.48091602,0.36228815,0.65839696,0.28601694
2020-02-18 22:14:52,1,2,Odie,Max Cohen,0,0,0,0,0,0,0,1,0,0,0,13.178082,-5.437854,12.003817,0.65839696,0.28601694,0.33396947,0.34039548
