Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2020-02-26 22:56:29,1,1,Evan Ma,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,11.115858,4.943502,-9.956108,0.26526716,0.8163842,0.53435117,0.7669492
2020-02-26 22:56:39,1,1,Max Cohen,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,5.9456406,1.6242981,5.7194667,0.53435117,0.7669492,0.379771,0.7507062
2020-02-26 22:56:46,1,1,Victor Kao,Carter Thallon,0,0,0,0,0,0,0,1,0,0,0,14.086006,6.4971743,-12.498092,0.379771,0.7507062,0.71755725,0.68573445
2020-02-26 22:56:49,1,1,Carter Thallon,Odie,0,0,0,0,0,0,0,0,0,0,0,8.952368,4.8022566,7.5553436,0.71755725,0.68573445,0.5133588,0.6377119
2020-02-26 22:56:55,1,1,Odie,Carter Thallon,0,0,0,0,0,0,0,0,1,0,0,7.909012,-3.954798,6.8492365,0.5133588,0.6377119,0.32824427,0.67725986
2020-02-26 22:56:57,1,1,Carter Thallon,Odie,0,0,0,0,0,1,0,0,0,0,0,6.878866,6.4971743,2.2595413,0.32824427,0.67725986,0.26717559,0.6122881
2020-02-26 22:57:04,1,1,Odie,Eliot Bemis,0,0,0,1,1,0,1,0,0,0,0,48.315197,48.305084,-0.9885491,0.26717559,0.6122881,0.29389313,0.1292373
2020-02-26 22:58:06,2,1,Andrew Edelman,Josh Imhoff,0,0,0,0,0,1,0,1,0,0,0,14.475562,5.932203,-13.204199,0.3110687,0.29237288,0.66793895,0.23305085
2020-02-26 22:58:09,2,1,Josh Imhoff,Sam Alston,0,0,0,1,1,0,0,0,0,0,0,8.64555,6.355932,-5.8606873,0.66793895,0.23305085,0.8263359,0.16949153
2020-02-26 22:59:21,3,1,Andrew Edelman,Geo Zheng,0,0,0,0,0,0,0,0,0,0,0,7.409771,0.98870397,7.343512,0.6316794,0.6864407,0.4332061,0.67655367
2020-02-26 22:59:23,3,1,Geo Zheng,Andrew Edelman,0,0,0,0,0,0,0,0,1,0,0,3.8454568,-3.8135588,0.49427456,0.4332061,0.67655367,0.41984734,0.71468925
2020-02-26 22:59:49,3,1,Andrew Edelman,Swan,0,0,0,0,0,0,0,0,0,0,0,13.0193205,11.158192,6.7080154,0.41984734,0.71468925,0.23854962,0.60310733
2020-02-26 22:59:52,3,1,Swan,Stouf,0,0,0,0,0,0,0,0,0,0,0,9.81867,9.816384,0.21183203,0.23854962,0.60310733,0.23282443,0.5049435
2020-02-26 22:59:54,3,1,Stouf,Jesse Gan,1,1,0,0,0,0,0,0,0,0,0,8.701761,7.062146,-5.083969,0.23282443,0.5049435,0.370229,0.43432203
2020-02-26 23:00:22,3,2,Andrew Edelman,Towell,0,0,0,0,0,0,0,0,0,0,0,13.599072,10.522598,-8.614505,0.5744275,0.43502825,0.80725193,0.32980227
2020-02-26 23:00:27,3,2,Towell,Andrew Edelman,0,0,0,0,0,0,0,0,1,0,0,9.1494875,-9.1101675,0.8473281,0.80725193,0.32980227,0.78435117,0.42090395
2020-02-26 23:00:42,3,2,Andrew Edelman,Swan,1,1,0,1,0,0,1,0,0,0,1,47.294968,40.74859,24.007633,0.78435117,0.42090395,0.13549618,0.013418079
2020-02-26 23:08:14,4,1,Evan Ma,Max Cohen,0,0,0,0,0,0,0,0,0,0,0,15.076444,13.206214,-7.272901,0.21374045,0.86440676,0.41030535,0.7323446
2020-02-26 23:08:22,4,1,Max Cohen,Sam Pollack,0,0,0,0,0,0,0,0,0,0,0,15.330168,13.418078,7.414122,0.41030535,0.7323446,0.20992367,0.59816384
2020-02-26 23:08:32,4,1,Sam Pollack,Max Cohen,0,0,0,0,0,0,0,0,1,0,0,7.448796,-7.4152527,-0.7061066,0.20992367,0.59816384,0.22900763,0.6723164
2020-02-26 23:08:37,4,1,Max Cohen,Owen Marschall,0,0,0,0,0,0,0,0,1,0,0,9.530654,-1.6242921,-9.391221,0.22900763,0.6723164,0.48282441,0.6885593
2020-02-26 23:08:45,4,1,Owen Marschall,Evan Ma,0,0,0,0,0,0,0,0,0,0,0,10.644861,5.5084705,9.108778,0.48282441,0.6885593,0.23664123,0.6334746
2020-02-26 23:09:03,4,1,Evan Ma,Jeff Voss,1,1,0,0,0,0,1,0,0,0,0,45.570305,44.56215,-9.532442,0.23664123,0.6334746,0.4942748,0.18785311
2020-02-26 23:10:25,5,1,Andrew Edelman,Ruozhou Ye,0,0,0,0,0,0,0,0,0,0,0,16.319382,9.392654,13.345421,0.6221374,0.8220339,0.26145038,0.72810733
2020-02-26 23:10:29,5,1,Ruozhou Ye,Josh Imhoff,0,0,0,0,0,0,0,0,0,0,1,11.441146,10.028249,5.507634,0.26145038,0.72810733,0.11259542,0.62782484
2020-02-26 23:10:31,5,1,Josh Imhoff,Andrew Edelman,0,0,0,0,0,0,0,0,0,1,0,8.274903,7.697737,-3.0362597,0.11259542,0.62782484,0.19465649,0.5508475
2020-02-26 23:10:35,5,1,Andrew Edelman,Ruozhou Ye,0,0,0,0,0,0,0,1,0,0,0,12.158172,0.56497455,-12.145038,0.19465649,0.5508475,0.52290076,0.5451977
2020-02-26 23:10:37,5,1,Ruozhou Ye,Carter Wang,0,0,0,0,0,0,0,0,0,0,0,12.445554,9.18079,-8.402672,0.52290076,0.5451977,0.75,0.45338982
2020-02-26 23:10:40,5,1,Carter Wang,Ruozhou Ye,0,0,0,0,0,0,0,0,1,0,0,10.086968,-7.062149,7.20229,0.75,0.45338982,0.5553435,0.5240113
2020-02-26 23:10:41,5,1,Ruozhou Ye,Andrew Edelman,0,0,0,0,0,0,0,0,0,0,0,10.070478,2.5423737,9.744274,0.5553435,0.5240113,0.29198474,0.49858758
2020-02-26 23:10:48,5,1,Andrew Edelman,Josh Imhoff,0,0,0,0,0,0,0,0,0,0,1,13.328154,11.8644085,6.072519,0.29198474,0.49858758,0.1278626,0.3799435
2020-02-26 23:10:52,5,1,Josh Imhoff,Andrew Edelman,0,0,0,0,0,0,0,0,1,1,0,7.390764,-6.567797,-3.3893125,0.1278626,0.3799435,0.21946564,0.44562146
2020-02-26 23:10:58,5,1,Andrew Edelman,Geo Zheng,0,0,0,0,0,0,0,0,0,0,0,14.0355015,9.675139,-10.167938,0.21946564,0.44562146,0.4942748,0.34887007
2020-02-26 23:11:00,5,1,Geo Zheng,Sam Alston,0,0,0,0,0,0,0,0,0,0,0,7.969961,0.988701,-7.908397,0.4942748,0.34887007,0.70801526,0.33898306
2020-02-26 23:11:03,5,1,Sam Alston,Andrew Edelman,0,0,0,0,0,0,0,0,0,0,0,8.999879,8.545199,-2.8244286,0.70801526,0.33898306,0.78435117,0.25353107
2020-02-26 23:11:10,5,1,Andrew Edelman,Geo Zheng,1,1,0,1,0,0,0,0,0,0,0,11.8477745,11.793785,1.1297723,0.78435117,0.25353107,0.7538168,0.13559322
2020-02-26 23:11:48,5,2,Andrew Edelman,Ruozhou Ye,0,0,0,0,0,0,0,1,0,0,0,13.2765,0.21186471,13.274809,0.78816795,0.81426555,0.42938933,0.8121469
2020-02-26 23:11:55,5,2,Ruozhou Ye,Sam Alston,0,0,0,0,0,0,1,0,0,0,0,52.23809,52.11865,3.5305345,0.42938933,0.8121469,0.33396947,0.29096046
2020-02-26 23:12:03,5,2,Sam Alston,Jesse Gan,0,0,0,0,0,0,0,0,0,0,0,7.771775,2.3305087,-7.4141226,0.33396947,0.29096046,0.53435117,0.26765537
2020-02-26 23:12:08,5,2,Jesse Gan,Ruozhou Ye,0,0,0,0,0,1,0,0,1,0,0,9.744759,-3.8135588,8.967558,0.53435117,0.26765537,0.29198474,0.30579096
2020-02-26 23:12:11,5,2,Ruozhou Ye,Josh Imhoff,0,0,0,1,1,0,0,0,0,0,0,15.120204,14.406779,4.589695,0.29198474,0.30579096,0.16793893,0.16172317
2020-02-26 23:13:07,6,1,Ruozhou Ye,Swan,0,0,0,0,0,0,0,0,0,0,0,7.2440643,-0.7768333,7.2022915,0.59923667,0.7782486,0.40458015,0.78601694
2020-02-26 23:13:09,6,1,Swan,Geo Zheng,1,1,0,0,0,0,0,0,0,0,0,9.236478,5.5084763,7.4141216,0.40458015,0.78601694,0.20419848,0.7309322
2020-02-26 23:13:46,6,2,Ruozhou Ye,Zero,0,0,0,0,0,0,0,1,0,0,0,15.668524,6.6384134,-14.192748,0.40648854,0.8220339,0.7900763,0.75564975
2020-02-26 23:13:55,6,2,Zero,Nadav Pearl,0,0,0,0,0,0,0,0,0,0,0,9.51499,9.322035,-1.9064889,0.7900763,0.75564975,0.84160304,0.6624294
2020-02-26 23:14:01,6,2,Nadav Pearl,Ruozhou Ye,0,0,0,0,0,0,0,0,0,0,1,14.466141,14.265537,-2.4007635,0.84160304,0.6624294,0.90648854,0.519774
2020-02-26 23:14:49,6,2,Ruozhou Ye,Jeff Voss,0,0,0,0,0,1,0,0,0,1,0,31.893711,29.519775,12.074427,0.90648854,0.519774,0.5801527,0.22457626
2020-02-26 23:14:51,6,2,Jeff Voss,Jon Kwan,0,0,0,1,1,0,0,0,0,0,0,11.38647,7.9096036,-8.19084,0.5801527,0.22457626,0.8015267,0.14548023
2020-02-26 23:15:52,7,1,Ruozhou Ye,Jon Kwan,0,0,0,0,0,1,0,0,0,0,1,17.384146,16.666666,-4.9427476,0.7900763,0.4569209,0.9236641,0.29025424
2020-02-26 23:15:56,7,1,Jon Kwan,Andrew Edelman,0,0,0,1,1,0,0,0,0,1,1,16.325932,16.313559,-0.63549775,0.9236641,0.29025424,0.9408397,0.12711865
2020-02-26 23:18:03,9,1,Owen Marschall,Max Cohen,0,0,0,0,0,0,0,1,0,1,0,13.011545,0.7062137,12.992366,0.9293893,0.7019774,0.57824427,0.69491524
2020-02-26 23:18:06,9,1,Max Cohen,Eliot Bemis,0,0,0,0,0,1,0,0,0,0,0,13.251131,12.146891,-5.295801,0.57824427,0.69491524,0.72137403,0.57344633
2020-02-26 23:18:15,9,1,Eliot Bemis,Carter Thallon,0,0,0,1,1,0,1,0,0,0,0,46.215237,44.13842,13.698473,0.72137403,0.57344633,0.35114503,0.13206215
2020-02-26 23:20:02,11,1,Victor Kao,Sam Pollack,0,0,0,0,0,0,0,0,0,0,1,14.518473,8.757061,-11.580152,0.6164122,0.7351695,0.9293893,0.64759886
2020-02-26 23:20:10,11,1,Sam Pollack,Odie,0,0,0,0,0,0,0,0,0,1,1,15.116392,14.901129,2.5419843,0.9293893,0.64759886,0.860687,0.49858758
2020-02-26 23:20:27,11,1,Odie,Victor Kao,0,0,0,0,0,0,0,0,1,1,0,11.8684025,-6.567797,9.885495,0.860687,0.49858758,0.59351146,0.56426555
2020-02-26 23:20:31,11,1,Victor Kao,Owen Marschall,0,0,0,0,0,0,0,0,0,0,0,11.990542,8.192092,-8.755726,0.59351146,0.56426555,0.8301527,0.48234463
2020-02-26 23:20:37,11,1,Owen Marschall,Sam Pollack,0,0,0,0,0,0,0,1,0,0,0,12.222997,-0.42372942,12.21565,0.8301527,0.48234463,0.5,0.48658192
2020-02-26 23:20:40,11,1,Sam Pollack,Owen Marschall,0,0,0,0,0,0,0,0,1,0,0,4.8198547,-4.731637,0.9179386,0.5,0.48658192,0.47519085,0.5338983
2020-02-26 23:20:43,11,1,Owen Marschall,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,14.883127,10.734463,10.30916,0.47519085,0.5338983,0.19656488,0.42655367
2020-02-26 23:20:50,11,1,Victor Kao,Evan Ma,0,0,0,0,0,0,0,0,1,0,0,11.054384,-1.5536726,-10.944656,0.19656488,0.42655367,0.4923664,0.4420904
2020-02-26 23:20:52,11,1,Evan Ma,Victor Kao,0,0,0,0,0,0,0,0,0,0,0,13.134742,9.11017,-9.461831,0.4923664,0.4420904,0.7480916,0.3509887
2020-02-26 23:21:01,11,1,Victor Kao,Eliot Bemis,1,1,0,1,0,0,0,0,0,0,0,33.786247,33.615818,3.3893125,0.7480916,0.3509887,0.65648854,0.014830508
2020-02-26 23:21:18,11,2,Evan Ma,Odie,0,0,0,0,0,0,0,0,0,0,1,10.618024,2.5423706,-10.30916,0.59160304,0.81920904,0.870229,0.79378533
2020-02-26 23:21:23,11,2,Odie,Evan Ma,0,0,0,0,0,0,0,1,0,1,0,15.816952,0.07062554,15.816793,0.870229,0.79378533,0.4427481,0.7930791
2020-02-26 23:21:26,11,2,Evan Ma,Owen Marschall,0,0,0,0,0,0,0,0,0,0,0,8.874102,5.084741,7.272901,0.4427481,0.7930791,0.2461832,0.74223167
2020-02-26 23:21:27,11,2,Owen Marschall,Eliot Bemis,0,0,0,0,0,0,0,0,0,0,0,9.987365,4.0960493,-9.108778,0.2461832,0.74223167,0.4923664,0.7012712
2020-02-26 23:21:29,11,2,Eliot Bemis,Evan Ma,0,0,0,0,0,0,0,0,0,0,0,6.3480783,2.7542353,-5.7194653,0.4923664,0.7012712,0.64694655,0.6737288
2020-02-26 23:21:31,11,2,Evan Ma,Odie,0,0,0,0,0,0,0,0,0,0,1,10.580171,4.8728824,-9.391221,0.64694655,0.6737288,0.90076333,0.625
2020-02-26 23:21:36,11,2,Odie,Owen Marschall,0,0,0,0,0,0,0,1,0,1,0,12.467589,-2.1186411,12.286259,0.90076333,0.625,0.5687023,0.6461864
